id;description;sort_order;date_added;date_modified;status
1;Table;47527;2020-01-20;2020-01-20;DISABLED
2;transmit;8745;2020-01-20;2020-01-20;AVAILABLE
3;Chief;83161;2020-01-20;2020-01-20;RESTRICTED
4;synthesize Steel;18974;2020-01-20;2020-01-20;AVAILABLE
5;harness architectures red;17869;2020-01-20;2020-01-20;RESTRICTED
6;web services;54496;2020-01-20;2020-01-20;RESTRICTED
7;Home Loan Account deposit;12226;2020-01-20;2020-01-20;AVAILABLE
8;Front-line Fantastic Human;23683;2020-01-20;2020-01-20;DISABLED
9;throughput Home Loan Account revolutionize;54871;2020-01-20;2020-01-20;AVAILABLE
10;Avon invoice;51091;2020-01-20;2020-01-20;AVAILABLE
